ativo,margem
ABEVA108,3.96
CMIGK682,8.43
IRBRJ440W5,38.56
RAILK191,5.65
ABEVA110,4.17
CMIGK712,8.13
IRBRJ442,35.55
RAILK196,5.40
ABEVA118,3.17
CMIGK718,7.25
IRBRJ445,35.34
RAILK199,5.27
ABEVA121,2.99
CMIGK732,7.94
IRBRJ445W1,33.94
RAILK201,5.15
ABEVA124,2.82
CMIGK738,7.06
IRBRJ445W2,34.54
RAILK206,4.92
ABEVA126,2.65
CMIGK758,6.86
IRBRJ445W4,36.93
RAILK211,4.70
ABEVA128,2.48
CMIGK762,7.64
IRBRJ445W5,38.20
RAILK214,4.59
ABEVA134,2.18
CMIGK782,7.45
IRBRJ447,35.13
RAILK216,4.48
ABEVA139,1.90
CMIGK812,7.15
IRBRJ450,34.92
RAILL101,12.39
ABEVB101,4.77
CMIGK818,6.27
IRBRJ450W1,33.46
RAILL106,11.98
ABEVB103,4.56
CMIGK832,6.96
IRBRJ450W2,34.09
RAILL109,11.77
ABEVB108,4.16
CMIGK858,5.88
IRBRJ450W4,36.55
RAILL111,11.57
ABEVB11,4.36
CMIGK862,6.66
IRBRJ450W5,37.84
RAILL114,11.37
ABEVB111,3.96
CMIGK882,6.47
IRBRJ452,34.71
RAILL116,11.17
ABEVB128,2.75
CMIGK888,5.59
IRBRJ455,34.50
RAILL119,10.97
ABEVB138,2.18
CMIGK908,5.39
IRBRJ455W1,32.97
RAILL121,10.78
ABEVC122,3.42
CMIGK912,6.18
IRBRJ455W2,33.64
RAILL124,10.60
ABEVD11,4.67
CMIGK918,5.30
IRBRJ455W4,36.17
RAILL126,10.42
ABEVE11,4.80
CMIGK928,5.20
IRBRJ455W5,37.49
RAILL129,10.24
ABEVF11,4.98
CMIGK932,5.98
IRBRJ457,34.29
RAILL131,10.06
ABEVG110,5.12
CMIGK962,5.69
IRBRJ460,34.08
RAILL134,9.89
ABEVH120,5.04
CMIGK968,4.81
IRBRJ460W1,32.49
RAILL136,9.72
ABEVI100W4,4.21
CMIGK978,4.71
IRBRJ460W2,33.19
RAILL139,9.55
ABEVI105W4,3.71
CMIGK982,5.49
IRBRJ460W4,35.79
RAILL141,9.38
ABEVI110W4,3.21
CMIGL104,5.02
IRBRJ460W5,37.13
RAILL144,9.22
ABEVI115W4,2.71
CMIGL105,4.88
IRBRJ462,33.87
RAILL146,9.06
ABEVI120W4,2.21
CMIGL108,4.78
IRBRJ465,33.67
RAILL149,8.90
ABEVI125W4,1.71
CMIGL109,4.41
IRBRJ465W1,32.02
RAILL151,8.74
ABEVI130W4,1.21
CMIGL11,3.74
IRBRJ465W2,32.75
RAILL154,8.59
ABEVI135W4,0.72
CMIGL113,4.19
IRBRJ465W4,35.42
RAILL156,8.44
ABEVI140W4,0.28
CMIGL114,3.96
IRBRJ465W5,36.79
RAILL159,8.29
ABEVI920W4,5.01
CMIGL118,3.52
IRBRJ467,33.46
RAILL164,8.00
ABEVI940W4,4.81
CMIGL126,3.10
IRBRJ470,33.25
RAILL166,7.85
ABEVI960W4,4.61
CMIGL129,2.95
IRBRJ470W1,31.54
RAILL169,7.71
ABEVI980W4,4.41
CMIGL131,2.80
IRBRJ470W2,32.31
RAILL170,8.14
ABEVJ100W1,4.24
CMIGL134,2.67
IRBRJ470W4,35.04
RAILL171,7.58
ABEVJ100W2,4.27
CMIGL136,2.53
IRBRJ470W5,36.44
RAILL174,7.44
ABEVJ100W4,4.33
CMIGL139,2.40
IRBRJ472,33.05
RAILL176,7.31
ABEVJ100W5,4.35
CMIGL141,2.28
IRBRJ475,32.84
RAILL179,7.18
ABEVJ102,4.19
CMIGL144,2.16
IRBRJ475W1,31.06
RAILL181,7.05
ABEVJ104,3.94
CMIGL146,2.05
IRBRJ475W2,31.87
RAILL184,6.93
ABEVJ105W1,3.74
CMIGL149,1.94
IRBRJ475W4,34.68
RAILL186,6.80
ABEVJ105W2,3.77
CMIGL2,3.43
IRBRJ475W5,36.10
RAILL189,6.68
ABEVJ105W4,3.83
CMIGL683,8.64
IRBRJ477,32.64
RAILL191,6.56
ABEVJ105W5,3.86
CMIGL707,8.25
IRBRJ480,32.44
RAILL194,6.44
ABEVJ109,3.44
CMIGL713,8.34
IRBRJ480W1,30.59
RAILL196,6.33
ABEVJ110,3.69
CMIGL733,8.15
IRBRJ480W2,31.43
RAILL199,6.21
ABEVJ110W1,3.24
CMIGL757,7.76
IRBRJ480W4,34.31
RAILL201,6.10
ABEVJ110W2,3.27
CMIGL763,7.86
IRBRJ480W5,35.75
RAILL206,5.89
ABEVJ110W4,3.34
CMIGL771,6.99
IRBRJ482,32.24
RAILL211,5.68
ABEVJ110W5,3.38
CMIGL783,7.67
IRBRJ485,32.03
RAILL216,5.47
ABEVJ112,3.20
CMIGL807,7.28
IRBRJ485W1,30.12
RAILL824,14.10
ABEVJ114,2.95
CMIGL813,7.38
IRBRJ485W2,31.00
RAILL844,13.92
ABEVJ115W1,2.74
CMIGL833,7.18
IRBRJ485W4,33.95
RAILL864,13.74
ABEVJ115W2,2.78
CMIGL857,6.80
IRBRJ485W5,35.41
RAILL884,13.57
ABEVJ115W4,2.86
CMIGL863,6.89
