ativo,margem
ABEVA101,"3,91"
CMIGN142,"5,40"
IRBRE660,"47,68"
RADLW248,"10,92"
ABEVA103,"3,69"
CMIGN145,"5,62"
IRBRE665,"47,56"
RADLX153,"5,01"
ABEVA108,"3,27"
CMIGN147,"5,84"
IRBRE670,"47,42"
RADLX155,"5,17"
ABEVA110,"3,48"
CMIGN149,"6,07"
IRBRE675,"47,28"
RADLX158,"5,33"
ABEVA111,"3,07"
CMIGN152,"6,29"
IRBRE680,"47,16"
RADLX160,"5,49"
ABEVA113,"2,88"
CMIGN155,"6,52"
IRBRE685,"47,02"
RADLX163,"5,66"
ABEVA116,"2,69"
CMIGN157,"6,74"
IRBRE69,"46,76"
RADLX165,"5,82"
ABEVA118,"2,52"
CMIGN160,"6,97"
IRBRE690,"46,90"
RADLX168,"5,99"
ABEVA121,"2,34"
CMIGN162,"7,20"
IRBRE70,"46,64"
RADLX170,"6,16"
ABEVA124,"2,18"
CMIGN165,"7,43"
IRBRE705,"46,51"
RADLX173,"6,33"
ABEVA126,"2,02"
CMIGN167,"7,66"
IRBRE710,"46,39"
RADLX175,"6,50"
ABEVA128,"1,87"
CMIGN170,"7,89"
IRBRE715,"46,27"
RADLX179,"6,85"
ABEVA131,"1,73"
CMIGN172,"8,12"
IRBRE720,"46,14"
RADLX180,"6,67"
ABEVA134,"1,60"
CMIGN175,"8,35"
IRBRE725,"46,02"
RADLX183,"7,02"
ABEVA596,"7,82"
CMIGN177,"8,58"
IRBRE730,"45,89"
RADLX185,"7,20"
ABEVA616,"7,62"
CMIGN180,"8,81"
IRBRE735,"45,77"
RADLX188,"7,38"
ABEVA636,"7,43"
CMIGN182,"9,05"
IRBRE740,"45,64"
RADLX190,"7,55"
ABEVA656,"7,24"
CMIGN185,"9,28"
IRBRE745,"45,53"
RADLX193,"7,73"
ABEVA676,"7,05"
CMIGN187,"9,51"
IRBRE750,"45,41"
RADLX195,"7,91"
ABEVA696,"6,86"
CMIGN190,"9,75"
IRBRE755,"45,28"
RADLX198,"8,10"
ABEVA716,"6,66"
CMIGN192,"9,98"
IRBRE760,"45,17"
RADLX200,"8,28"
ABEVA736,"6,47"
CMIGN195,"10,21"
IRBRE765,"45,04"
RADLX203,"8,47"
ABEVA756,"6,28"
CMIGN197,"10,45"
IRBRE770,"44,93"
RADLX205,"8,65"
ABEVA776,"6,09"
CMIGN200,"10,68"
IRBRE775,"44,82"
RADLX209,"9,02"
ABEVA796,"5,89"
CMIGN202,"10,92"
IRBRE780,"44,70"
RADLX210,"8,84"
ABEVA816,"5,70"
CMIGN205,"11,15"
IRBRF350,"59,62"
RADLX213,"9,21"
ABEVA836,"5,51"
CMIGN207,"11,39"
IRBRF400,"57,83"
RADLX215,"9,40"
ABEVA856,"5,32"
CMIGN210,"11,62"
IRBRF500,"54,60"
RADLX218,"9,59"
ABEVA876,"5,13"
CMIGN212,"11,86"
IRBRF600,"51,78"
RADLX223,"9,98"
ABEVA896,"4,94"
CMIGN215,"12,09"
IRBRH399,"60,79"
RADLX230,"10,36"
ABEVA906,"4,85"
CMIGN217,"12,33"
IRBRH500,"58,06"
RADLX233,"10,75"
ABEVA916,"4,76"
CMIGN854,"1,14"
IRBRH600,"55,64"
RADLX238,"11,15"
ABEVA926,"4,67"
CMIGN874,"1,25"
IRBRI490,"59,56"
RADLX243,"11,54"
ABEVA936,"4,58"
CMIGN904,"1,41"
IRBRJ365,"41,98"
RADLX248,"11,94"
ABEVA946,"4,49"
CMIGN924,"1,53"
IRBRJ370,"41,49"
RADLX253,"12,35"
